entidade,nome_coluna,tipo_primitivo,tipo_estatistico,papel_analitico,formula_calculo,unidade_medida,intervalo_teorico,descricao,dominio_exemplo,permite_nulo
TALHAO,talhao_id,VARCHAR(64),Identificador,Identificador,Atribuicao cadastral,Adimensional (Codigo),Alfanumerico unico,Identificador unico do talhao ou gleba agricola no sistema de gestao da usina,TAL-2026-N04,Nao
TALHAO,fazenda_nome,VARCHAR(128),Categorica Nominal,Metadado Tecnico,Declaracao cadastral,Texto,Nomes cadastrados,Nome da fazenda ou unidade produtora onde a lavoura esta instalada,Usina Santa Adelia,Nao
TALHAO,latitude,FLOAT,Numerica Continua,Feature Preditiva Continua,Sensor GNSS/WGS84,Graus decimais (deg),"[-90.0, +90.0]",Coordenada geografica de latitude para controle de variacao espacial e microclima,-21.1767,Sim
TALHAO,longitude,FLOAT,Numerica Continua,Feature Preditiva Continua,Sensor GNSS/WGS84,Graus decimais (deg),"[-180.0, +180.0]",Coordenada geografica de longitude para controle de variacao espacial e microclima,-47.8208,Sim
TALHAO,variedade_cultivar,VARCHAR(64),Categorica Nominal,Feature Preditiva Discreta,Cadastro agronomico,Texto (Codigo RIDESA/CTC),Cultivares registradas,Variedade genetica da cana-de-acucar com suscetibilidade especifica a patogenos,RB867515 | CTC4 | SP80-3280,Sim
TALHAO,tipo_solo,VARCHAR(64),Categorica Nominal,Feature Preditiva Discreta,Classificacao pedologica SiBCS,Texto,Ordens pedologicas SiBCS,Classificacao pedologica do solo predominante na gleba produtiva,Latossolo Vermelho | Argissolo,Sim
PLANTA,planta_id,VARCHAR(64),Identificador,Identificador,Atribuicao de amostragem,Adimensional (Codigo),Alfanumerico unico,Identificador unico da touceira vegetal monitorada dentro do talhao,PLT-00482,Nao
PLANTA,talhao_id,VARCHAR(64),Identificador / FK,Identificador,Chave estrangeira N:1,Adimensional (Codigo),Chave existente em TALHAO,Chave estrangeira relacionando a touceira ao talhao produtivo,TAL-2026-N04,Nao
PLANTA,posicao_linha,INTEGER,Numerica Discreta,Feature Preditiva Discreta,Contagem sequencial no talhao,Linha (unidade inteira),"[1, 1000]",Posicao fisica da linha de plantio para analise de dispersao de patogenos em gradiente,12,Sim
PLANTA,estadio_fenologico,VARCHAR(32),Categorica Ordinal,Feature Preditiva Discreta,Inspecao fenologica agronomica,Estagio de desenvolvimento,Brotacao | Perfilhamento | Crescimento Intenso | Maturacao,Fase de desenvolvimento vegetativo da cana no momento do registro,Crescimento Intenso,Sim
PLANTA,idade_dias,INTEGER,Numerica Discreta,Feature Preditiva Continua,Data_Coleta - Data_Plantio_Corte,Dias decorridos,"[0, 730]",Idade cronologica da cultura vegetal em dias contados a partir do corte ou plantio,120,Sim
COLETA_DATA,coleta_id,VARCHAR(64),Identificador,Identificador,Atribuicao de lote de inspecao,Adimensional (Codigo),Alfanumerico unico,Identificador exclusivo da campanha de amostragem ou inspecao visual de campo,COL-2026-08-28-01,Nao
COLETA_DATA,data_hora_captura,DATETIME,Temporal,Metadado Tecnico,Timestamp ISO-8601 UTC,DataHora (ISO-8601),Datas validas de safra,Registro temporal preciso da captura fotografica em campo,2026-08-28T09:30:00Z,Nao
COLETA_DATA,temperatura_celsius,FLOAT,Numerica Continua,Feature Preditiva Continua,Termometria de sensor de campo,Graus Celsius (deg C),"[0.0, 55.0]",Temperatura do ar no momento do voo ou captura para controle de esporulacao,28.5,Sim
