sample_id,filepath,filename,relative_path,dataset_source,split_partition,class_label,extension,width,height,channels,color_mode,size_kb,target_binary,target_multiclass,mean_hue,std_saturation,exg_index,exr_index,glcm_contrast,glcm_homogeneity,laplacian_var,rg_ratio,indice_clorose_necrose,hue_dispersion,glcm_dissimilarity,glcm_energy,indice_rugosidade_pustula,total_pixels,resolution_mp,aspect_ratio,size_kb_bin,laplacian_var_bin,resolution_bin,aspect_ratio_bin
7064f596-14b4-45fc-875c-f2b0fdeceb9d,C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-102-_jpeg.rf.d295ed4ca916f131ea429dc5b085e0b8.jpg,healthy-102-_jpeg.rf.d295ed4ca916f131ea429dc5b085e0b8.jpg,roboflow_sugarcane\test\healthy-102-_jpeg.rf.d295ed4ca916f131ea429dc5b085e0b8.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,32.69,0,1,77.48,0.0866,49.77,-11.09,10.57,0.8616,111.73,0.3913999999999999,4.514417531718569,6.709768,0.7750750281101826,0.8616,9.497499474987977,409600,0.41,1.0,0,0,0,0
4623a0fc-bec7-4ad8-a5c2-88eea86f8a0e,C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-105-_jpeg.rf.428f57f0e740c3b1247283e826c87f04.jpg,healthy-105-_jpeg.rf.428f57f0e740c3b1247283e826c87f04.jpg,roboflow_sugarcane\test\healthy-105-_jpeg.rf.428f57f0e740c3b1247283e826c87f04.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,39.85,0,1,74.31,0.1372,47.85,-15.73,9.79,0.9052,154.47,0.3641999999999999,2.6525855790240347,10.195331999999999,0.6095092465254324,0.9052,6.584744563544452,409600,0.41,1.0,0,2,0,0
34c5670d-c4fd-4996-bf78-83764aa6e4e3,C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-11-_jpeg.rf.3837a595c7b78f4550bcb25659e12f90.jpg,healthy-11-_jpeg.rf.3837a595c7b78f4550bcb25659e12f90.jpg,roboflow_sugarcane\test\healthy-11-_jpeg.rf.3837a595c7b78f4550bcb25659e12f90.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,45.07,0,1,78.24,0.1177,45.04,-17.99,9.39,0.8602,102.4,0.3697,3.1383701188455007,9.208848,0.7348217032722976,0.8602,8.01204806517287,409600,0.41,1.0,0,0,0,0
25032583-78af-426d-a4a4-5a49294a848b,C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-123-_jpeg.rf.cc0414df0bf63ca9dc3b8dadbb0b3884.jpg,healthy-123-_jpeg.rf.cc0414df0bf63ca9dc3b8dadbb0b3884.jpg,roboflow_sugarcane\test\healthy-123-_jpeg.rf.cc0414df0bf63ca9dc3b8dadbb0b3884.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,44.4,0,1,82.62,0.1139,41.51,-19.02,11.21,0.8752,157.5,0.3946999999999999,3.4622807017543846,9.410418,0.7526604801635334,0.8752,9.629449877463147,409600,0.41,1.0,0,2,0,0
a252dc67-f042-4296-9d1a-0ea5d7c25224,C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-132-_jpeg.rf.3d17209326d52bf5b29bf159f03300a5.jpg,healthy-132-_jpeg.rf.3d17209326d52bf5b29bf159f03300a5.jpg,roboflow_sugarcane\test\healthy-132-_jpeg.rf.3d17209326d52bf5b29bf159f03300a5.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,34.35,0,1,73.83,0.1091,33.0,-20.38,13.42,0.8526,156.17,0.4662,4.269230769230769,8.054853,0.906308291477023,0.8526,14.248661283530517,409600,0.41,1.0,0,2,0,0
756372db-9406-40c1-b8ad-e404ebe7ecab,C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-136-_jpeg.rf.5165a913989e96256db3c5a7eab9ba45.jpg,healthy-136-_jpeg.rf.5165a913989e96256db3c5a7eab9ba45.jpg,roboflow_sugarcane\test\healthy-136-_jpeg.rf.5165a913989e96256db3c5a7eab9ba45.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,38.58,0,1,73.83,0.1574,39.37,-17.87,16.33,0.9145,118.87,0.4276000000000001,2.7149206349206354,11.620842000000001,0.7496128217286578,0.9145,13.371029359725812,409600,0.41,1.0,0,0,0,0
250b11cf-2a15-420e-8ef6-84e443f2d950,C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-143-_jpeg.rf.cce9c4225b1d7f37f6d9d2a869ae0a12.jpg,healthy-143-_jpeg.rf.cce9c4225b1d7f37f6d9d2a869ae0a12.jpg,roboflow_sugarcane\test\healthy-143-_jpeg.rf.cce9c4225b1d7f37f6d9d2a869ae0a12.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,42.1,0,1,82.9,0.1271,40.64,-20.75,11.99,0.8169,152.15,0.3861,3.0353773584905666,10.53659,0.9802784624278964,0.8169,14.370386067380462,409600,0.41,1.0,0,2,0,0
ae1c60bd-40f4-42cb-8e85-793e0f12342a,C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-147-_jpeg.rf.5c0a68cd836c91bc32c1d182dd8da3e1.jpg,healthy-147-_jpeg.rf.5c0a68cd836c91bc32c1d182dd8da3e1.jpg,roboflow_sugarcane\test\healthy-147-_jpeg.rf.5c0a68cd836c91bc32c1d182dd8da3e1.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,30.32,0,1,78.84,0.131,40.21,-16.74,12.7,0.8869,150.99,0.4305,3.2837528604118993,10.328040000000001,0.759425735012977,0.8869,10.862379586287654,409600,0.41,1.0,0,2,0,0
3c19008c-d78e-44c0-951a-b93766896c42,C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-222-_jpeg.rf.7f3ea0a92e1e29ec4ed8af8b9c3f2838.jpg,healthy-222-_jpeg.rf.7f3ea0a92e1e29ec4ed8af8b9c3f2838.jpg,roboflow_sugarcane\test\healthy-222-_jpeg.rf.7f3ea0a92e1e29ec4ed8af8b9c3f2838.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,33.86,0,1,72.65,0.1233,32.8,-17.83,13.35,0.9377,133.82,0.4937,4.0008103727714746,8.957745000000001,0.5930060889232087,0.9377,8.433611683311854,409600,0.41,1.0,0,1,0,0
c601c5c4-9d42-43f5-8233-a133f76d34a6,C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-223-_jpeg.rf.8caf44d145e965feaf3e9761090c17a3.jpg,healthy-223-_jpeg.rf.8caf44d145e965feaf3e9761090c17a3.jpg,roboflow_sugarcane\test\healthy-223-_jpeg.rf.8caf44d145e965feaf3e9761090c17a3.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,35.06,0,1,77.71,0.1254,44.61,-18.12,10.68,0.8716,165.54,0.3726999999999999,2.969721115537848,9.744834,0.7464173502806591,0.8716,9.135614601188905,409600,0.41,1.0,0,2,0,0
