filepath,filename,relative_path,dataset_source,split_partition,class_label,extension,width,height,channels,color_mode,size_kb
C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-102-_jpeg.rf.d295ed4ca916f131ea429dc5b085e0b8.jpg,healthy-102-_jpeg.rf.d295ed4ca916f131ea429dc5b085e0b8.jpg,roboflow_sugarcane\test\healthy-102-_jpeg.rf.d295ed4ca916f131ea429dc5b085e0b8.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,32.69
C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-105-_jpeg.rf.428f57f0e740c3b1247283e826c87f04.jpg,healthy-105-_jpeg.rf.428f57f0e740c3b1247283e826c87f04.jpg,roboflow_sugarcane\test\healthy-105-_jpeg.rf.428f57f0e740c3b1247283e826c87f04.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,39.85
C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-11-_jpeg.rf.3837a595c7b78f4550bcb25659e12f90.jpg,healthy-11-_jpeg.rf.3837a595c7b78f4550bcb25659e12f90.jpg,roboflow_sugarcane\test\healthy-11-_jpeg.rf.3837a595c7b78f4550bcb25659e12f90.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,45.07
C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-123-_jpeg.rf.cc0414df0bf63ca9dc3b8dadbb0b3884.jpg,healthy-123-_jpeg.rf.cc0414df0bf63ca9dc3b8dadbb0b3884.jpg,roboflow_sugarcane\test\healthy-123-_jpeg.rf.cc0414df0bf63ca9dc3b8dadbb0b3884.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,44.4
C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-132-_jpeg.rf.3d17209326d52bf5b29bf159f03300a5.jpg,healthy-132-_jpeg.rf.3d17209326d52bf5b29bf159f03300a5.jpg,roboflow_sugarcane\test\healthy-132-_jpeg.rf.3d17209326d52bf5b29bf159f03300a5.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,34.35
C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-136-_jpeg.rf.5165a913989e96256db3c5a7eab9ba45.jpg,healthy-136-_jpeg.rf.5165a913989e96256db3c5a7eab9ba45.jpg,roboflow_sugarcane\test\healthy-136-_jpeg.rf.5165a913989e96256db3c5a7eab9ba45.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,38.58
C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-143-_jpeg.rf.cce9c4225b1d7f37f6d9d2a869ae0a12.jpg,healthy-143-_jpeg.rf.cce9c4225b1d7f37f6d9d2a869ae0a12.jpg,roboflow_sugarcane\test\healthy-143-_jpeg.rf.cce9c4225b1d7f37f6d9d2a869ae0a12.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,42.1
C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-147-_jpeg.rf.5c0a68cd836c91bc32c1d182dd8da3e1.jpg,healthy-147-_jpeg.rf.5c0a68cd836c91bc32c1d182dd8da3e1.jpg,roboflow_sugarcane\test\healthy-147-_jpeg.rf.5c0a68cd836c91bc32c1d182dd8da3e1.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,30.32
C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-222-_jpeg.rf.7f3ea0a92e1e29ec4ed8af8b9c3f2838.jpg,healthy-222-_jpeg.rf.7f3ea0a92e1e29ec4ed8af8b9c3f2838.jpg,roboflow_sugarcane\test\healthy-222-_jpeg.rf.7f3ea0a92e1e29ec4ed8af8b9c3f2838.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,33.86
C:\Users\ELISAALMEIDAALCANTAR\Documents\Sanidade-Vegetal\datasets\roboflow_sugarcane\test\healthy-223-_jpeg.rf.8caf44d145e965feaf3e9761090c17a3.jpg,healthy-223-_jpeg.rf.8caf44d145e965feaf3e9761090c17a3.jpg,roboflow_sugarcane\test\healthy-223-_jpeg.rf.8caf44d145e965feaf3e9761090c17a3.jpg,roboflow_sugarcane,test,HEALTHY,.jpg,640,640,3,RGB,35.06
